time_sec,qx,qy,qz,qw,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,fx,fy,fz,tx,ty,tz
1783480041.0637808,0.6597988899921678,-0.2732539937017843,-0.2676380197295594,0.6468133966503543,0.0020420352248333657,1.5713548321555348,-0.002129301687433082,1.5713722854480547,3.1392713656846403,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.0060002338485946,1.4261929643302238e-07,0.036000053270573935,-1.887323840050726e-15,1.9984589186536057e-15,3.0527698956585366e-16
1783480041.1636844,0.6597917759739842,-0.27327128341333473,-0.2676549364495872,0.6468063489274762,0.0020420352248333657,1.5713548321555348,-0.002129301687433082,1.5713722854480547,3.139253912392121,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.005999639018209047,3.6008551735547123e-07,0.03600005297496881,-1.7763733713590747e-15,1.9983918466993198e-15,3.05277964232334e-16
1783480041.2637575,0.6598012350782074,-0.2732483530217191,-0.2676437750576,0.6468110059616387,0.0020245819323134223,1.5713548321555348,-0.0021467549799530253,1.5713548321555348,3.139253912392121,0.7839844467033329,0.0,0.0,0.0,0.0,0.0,0.0,0.005999984964817162,-1.850580612736871e-08,0.036000002402733364,-1.7763468489168507e-15,1.9984105339411293e-15,3.0530996225159187e-16
1783480041.36369,0.6598012218498341,-0.2732483476255324,-0.2676437805903363,0.6468110194459382,0.0020420352248333657,1.5713548321555348,-0.0021467549799530253,1.5713722854480547,3.139253912392121,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.005999679484248733,6.930660433549382e-08,0.03600005350293727,-1.77627759977366e-15,1.998476971035038e-15,3.0527798423520036e-16
1783480041.4637733,0.6598012218498341,-0.2732483476255324,-0.2676437805903363,0.6468110194459382,0.0020420352248333657,1.5713548321555348,-0.002129301687433082,1.5713548321555348,3.139253912392121,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.006000290282514872,-4.6767963777964096e-07,0.03599995160311252,-1.7762963647923106e-15,1.998450519712616e-15,3.053419518503151e-16
1783480041.563729,0.6597988899921678,-0.2732539937017843,-0.2676380197295594,0.6468133966503543,0.0020420352248333657,1.5713548321555348,-0.0021467549799530253,1.5713722854480547,3.139236459099601,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999848745307584,-1.6302820704992625e-07,0.0360000025211015,-1.8873212581082897e-15,1.998456326395855e-15,3.0530992009640126e-16
1783480041.6638772,0.6597941416436887,-0.27326551784732256,-0.2676492999859562,0.6468087040426486,0.0020245819323134223,1.5713548321555348,-0.002129301687433082,1.5713548321555348,3.139253912392121,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.005999984871681704,-1.6302820696722155e-07,0.0360000025211015,-1.8873212581082897e-15,1.998456326395855e-15,3.0530992009640126e-16
1783480041.7636826,0.6597917361944826,-0.27327140045172355,-0.26766633625971337,0.6468016225844877,0.0020420352248333657,1.5713548321555348,-0.002129301687433082,1.5713548321555348,3.139253912392121,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999841586580735,-2.3564524688813115e-07,0.03600000263944425,-1.887297314109937e-15,1.9984789382343367e-15,3.0530992239939054e-16
1783480041.8638077,0.6598012218498341,-0.2732483476255324,-0.2676437805903363,0.6468110194459382,0.0020420352248333657,1.571337378863015,-0.002129301687433082,1.5713722854480547,3.139236459099601,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.0059993742001251075,4.4657595933458884e-07,0.03600010429162967,-1.887326436482027e-15,1.9984614958372755e-15,3.052440645454677e-16
1783480041.9636903,0.6597941812230892,-0.27326540072637306,-0.2676379001355395,0.646813430288091,0.0020245819323134223,1.571337378863015,-0.002129301687433082,1.5713548321555348,3.139253912392121,0.7840018999958529,0.0,0.0,0.0,0.0,0.0,0.0,0.005999070025000815,8.244457445727191e-07,0.036000154974056967,-1.7763306626741175e-15,1.998439579603548e-15,3.0521400097552606e-16
