time_sec,qx,qy,qz,qw,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,fx,fy,fz,tx,ty,tz
1783479241.6836352,0.6597119654622585,-0.27346356565535124,-0.2686449053364736,0.6463959434601539,0.0021991148575128553,1.5705519806996173,-0.0008552113334772215,1.5702901813118182,3.1403360165283574,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-1.0225833086667788e-05,-0.03274512476097596,0.49999965231715526,-8.881620703118283e-16,1.9984228426308067e-15,4.995438295142716e-16
1783479241.7836182,0.6597120056091422,-0.2734634487713212,-0.26863351254948004,0.6464006867080097,0.0021642082724729686,1.5705519806996173,-0.0008552113334772215,1.5702901813118182,3.140301109943317,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,2.873574312531187e-06,-0.026109057571709966,0.4999998667923058,-8.88173330838847e-16,1.9983994865320085e-15,4.996172388040693e-16
1783479241.883683,0.6597096282342342,-0.27346920957096865,-0.26863914960500823,0.6463983331748127,0.002181661564992912,1.5705519806996173,-0.0008726646259971648,1.5702901813118182,3.1403185632358372,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-1.5911844027873286e-06,-0.020583113496085763,0.5000000644622347,-8.881536021535969e-16,1.9984143771695648e-15,4.995927489451184e-16
1783479241.9836638,0.6597096191652402,-0.2734692058342149,-0.2686391534493862,0.6463983424137586,0.002181661564992912,1.5705519806996173,-0.0008552113334772215,1.5702901813118182,3.1403185632358372,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-3.5937121298162156e-06,-0.060989773482773006,0.500000157769611,-8.881057152578907e-16,1.9984356520514515e-15,4.995927759995419e-16
1783479242.0838504,0.6597049499167028,-0.2734804957111502,-0.2686276397744296,0.6464031162287226,0.0021991148575128553,1.5705519806996173,-0.0008552113334772215,1.5702901813118182,3.140301109943317,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-1.3739733578368856e-06,-0.046164104616217075,0.5000001215493308,-8.881775530063669e-16,1.9984037317514116e-15,4.995927521017732e-16
1783479242.1836555,0.6597096191652402,-0.2734692058342149,-0.2686391534493862,0.6463983424137586,0.002181661564992912,1.5705519806996173,-0.0008726646259971648,1.5702727280192983,3.1403185632358372,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-1.3489532596442788e-06,-0.023322912031910406,0.5000000613709907,-8.881775530063669e-16,1.9984037317514116e-15,4.995927521017732e-16
1783479242.2837632,0.6597143446432697,-0.2734578056496601,-0.2686392674550319,0.6463982951574034,0.002181661564992912,1.5705519806996173,-0.0008552113334772215,1.5702727280192983,3.1403185632358372,0.785206177179729,0.0,0.0,0.0,0.0,0.0,0.0,-1.490632421807589e-06,-0.01225957256855424,0.5000000320866892,-8.881536105429677e-16,1.998414368843151e-15,4.995927673372482e-16
1783479242.3836079,0.6597143446432697,-0.2734578056496601,-0.2686392674550319,0.6463982951574034,0.0021642082724729686,1.5705519806996173,-0.0008552113334772215,1.5702901813118182,3.140301109943317,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-9.018674871070446e-06,-0.09321467833285231,0.5000010342838374,-8.881099425870637e-16,1.9984398917035185e-15,4.995683014573685e-16
1783479242.4837344,0.6597096100963127,-0.27346920209730013,-0.26863915729360616,0.6463983516527702,0.0021642082724729686,1.5705519806996173,-0.0008552113334772215,1.5702727280192983,3.1403360165283574,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-1.5643791997159606e-06,-0.018422398545756953,0.500000048471854,-8.881536036386396e-16,1.998414375711576e-15,4.995927521371575e-16
1783479242.5836127,0.6597048605539046,-0.27348072574254906,-0.2686504291926333,0.6463936389720244,0.002181661564992912,1.5705519806996173,-0.0008552113334772215,1.5702901813118182,3.140301109943317,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-1.7042380193335422e-06,-0.02598250050040103,0.5113440215738235,-8.881536143760131e-16,1.99841436499217e-15,4.995927759272905e-16
1783479242.6836917,0.65970961916524,-0.2734692058342151,-0.268639153449386,0.6463983424137586,0.002181661564992912,1.5705519806996173,-0.0008552113334772215,1.5702901813118182,3.140301109943317,0.785206177179729,0.0,0.0,0.0,0.0,0.0,0.0,-1.1689126591883887e-05,-0.07511142502302964,0.5001829821120332,-8.88138126134375e-16,1.9984334809953916e-15,4.995438415576085e-16
1783479242.7837863,0.6597143446432697,-0.2734578056496601,-0.2686392674550319,0.6463982951574034,0.002181661564992912,1.5705694339921372,-0.0008552113334772215,1.5702901813118182,3.1403185632358372,0.785223630472249,0.0,0.0,0.0,0.0,0.0,0.0,-1.7361863111238987e-06,-0.010861324730597324,0.49986339216163533,-8.881057152578907e-16,1.9984356520514515e-15,4.995927759995419e-16
