time,fx_meas,fy_meas,fz_meas,tx_meas,ty_meas,tz_meas,fx_trad,fy_trad,fz_trad,tx_trad,ty_trad,tz_trad,fx_plain,fy_plain,fz_plain,tx_plain,ty_plain,tz_plain,fx_res,fy_res,fz_res,tx_res,ty_res,tz_res
0.0,-2.7489249987411313e-07,0.1000000536441803,0.013999623246490955,-2.442498065713633e-15,2.775553326398155e-15,3.052916382558944e-16,0.10917288810014725,0.020390167832374573,0.18378333747386932,0.014190624468028545,0.009187831543385983,-0.017985107377171516,-0.0007357962313108146,-0.007821887731552124,-0.05871756747364998,0.0003501772880554199,-0.0010688602924346924,-0.00034629181027412415,-0.007089458405971527,0.006081370636820793,-0.06304897367954254,-0.0006009237840771675,-0.00048664771020412445,3.8117170333862305e-05
0.10001492500305176,3.3199055451405e-06,0.1000000536441803,0.01399962604045868,-2.442398115825857e-15,2.775640994308196e-15,3.052916382558944e-16,0.10917036235332489,0.020396307110786438,0.18378236889839172,0.014190029352903366,0.009187226183712482,-0.017985183745622635,-0.0007443607319146395,-0.007787078619003296,-0.05871136486530304,0.00034749507904052734,-0.0010700523853302002,-0.00034645386040210724,-0.007092706859111786,0.0060886722058057785,-0.06304681301116943,-0.0006002159789204597,-0.0004858188331127167,3.872625529766083e-05
0.2001357078552246,2.0028542166983243e-06,0.10000017285346985,0.013998778536915779,-2.442434114726115e-15,2.7756143127703574e-15,3.0524743372395955e-16,0.10904258489608765,0.02052205055952072,0.18378211557865143,0.014177718199789524,0.009174839593470097,-0.017986763268709183,-0.0007926462567411363,-0.007689684629440308,-0.05873033404350281,0.00033912062644958496,-0.0010755658149719238,-0.0003465712070465088,-0.007220931351184845,0.006220554001629353,-0.06304588913917542,-0.0006107678636908531,-0.0004964694380760193,3.7906691431999207e-05
0.29997682571411133,8.049044595281885e-07,0.10000017285346985,0.013998775742948055,-2.442467360769295e-15,2.775585090133677e-15,3.0524740725417995e-16,0.10916784405708313,0.02039642632007599,0.18378151953220367,0.014190029352903366,0.009187226183712482,-0.017985183745622635,-0.0007256565149873495,-0.007812231779098511,-0.05870315432548523,0.0003498494625091553,-0.0010677576065063477,-0.0003463607281446457,-0.007096603512763977,0.006085115484893322,-0.0630476325750351,-0.000601564534008503,-0.0004863496869802475,3.828480839729309e-05
0.40007877349853516,2.121483021255699e-06,0.1000000536441803,0.01399962604045868,-2.4424313618690366e-15,2.7756117716715156e-15,3.052916382558944e-16,0.10930787026882172,0.020258404314517975,0.18378371000289917,0.014203531667590141,0.009200822561979294,-0.0179834496229887,-0.000683331920299679,-0.00792965292930603,-0.058687999844551086,0.0003592967987060547,-0.0010626614093780518,-0.0003458317369222641,-0.006953433156013489,0.005944744683802128,-0.06305088102817535,-0.0005902359262108803,-0.00047552771866321564,3.9050355553627014e-05
0.49997735023498535,1.0416966915727244e-06,0.09999993443489075,0.01400047354400158,-2.4424620668133746e-15,2.7755800079359936e-15,3.053358692576088e-16,0.10930066555738449,0.020264431834220886,0.18378359079360962,0.014202935621142387,0.009200217202305794,-0.01798352599143982,-0.0007013394497334957,-0.007887810468673706,-0.0586814284324646,0.00035575032234191895,-0.001064211130142212,-0.00034596771001815796,-0.006961315870285034,0.005952414125204086,-0.06304892897605896,-0.0005893092602491379,-0.00047498568892478943,3.954581916332245e-05
0.6000001430511475,-3.9375757410198275e-07,0.10000017285346985,0.013998777605593204,-2.4425006068124746e-15,2.775555867496997e-15,3.0524743372395955e-16,0.10930535197257996,0.020258523523807526,0.18378286063671112,0.014203531667590141,0.009200822561979294,-0.0179834496229887,-0.000694430258590728,-0.00792047381401062,-0.05867311358451843,0.0003586113452911377,-0.0010626018047332764,-0.000345597043633461,-0.006957098841667175,0.005944499745965004,-0.06304991245269775,-0.0005902545526623726,-0.0004746876657009125,3.9555132389068604e-05
0.7000222206115723,9.230557793671323e-07,0.1000000536441803,0.01399962604045868,-2.442464819670453e-15,2.7755825490348354e-15,3.052916382558944e-16,0.10917408764362335,0.020390167832374573,0.18378333747386932,0.014190624468028545,0.009187831543385983,-0.017985107377171516,-0.0007317372364923358,-0.007799476385116577,-0.058716610074043274,0.000348508358001709,-0.0010698139667510986,-0.0003464818000793457,-0.007089897990226746,0.006079700775444508,-0.06304627656936646,-0.0006013298407196999,-0.0004872409626841545,3.852322697639465e-05
0.799985408782959,3.3199055451405e-06,0.1000000536441803,0.01399962604045868,-2.442398115825857e-15,2.775640994308196e-15,3.052916382558944e-16,0.10917648673057556,0.020390167832374573,0.18378333747386932,0.014190624468028545,0.009187831543385983,-0.017985107377171516,-0.0007417381275445223,-0.007805198431015015,-0.058707550168037415,0.00034880638122558594,-0.0010695457458496094,-0.0003462396562099457,-0.007085971534252167,0.006082075648009777,-0.06304815411567688,-0.0006004516035318375,-0.00048600975424051285,3.853067755699158e-05
0.8999660015106201,3.438305611780379e-06,0.09999993443489075,0.014000475406646729,-2.442395574727015e-15,2.775638453209354e-15,3.053358692576088e-16,0.10930918157100677,0.020258285105228424,0.18378455936908722,0.014203531667590141,0.009200822561979294,-0.0179834496229887,-0.0006627031834796071,-0.00790831446647644,-0.05869573354721069,0.0003580749034881592,-0.0010634362697601318,-0.00034631043672561646,-0.0069553181529045105,0.005940130911767483,-0.06304429471492767,-0.0005917120724916458,-0.00047701410949230194,3.957189619541168e-05
1.0001020431518555,9.235299671672692e-07,0.1000000536441803,0.013999623246490955,-2.4424646079122163e-15,2.7755825490348354e-15,3.052916382558944e-16,0.10916795581579208,0.02039629966020584,0.18378274142742157,0.014190028421580791,0.009187227115035057,-0.017985183745622635,-0.0007505718385800719,-0.007779449224472046,-0.05870993807911873,0.00034672021865844727,-0.0010704398155212402,-0.0003464203327894211,-0.007095061242580414,0.006089125759899616,-0.06304751336574554,-0.0005999887362122536,-0.0004861094057559967,3.861449658870697e-05
1.0999767780303955,-2.790136022667866e-06,0.10000017285346985,0.013998773880302906,-2.442567098898834e-15,2.7754974222236363e-15,3.0524740725417995e-16,0.10903779417276382,0.02052205055952072,0.18378211557865143,0.014177718199789524,0.009174839593470097,-0.017986763268709183,-0.0007883793441578746,-0.00771448016166687,-0.05874893441796303,0.00034108757972717285,-0.0010752379894256592,-0.00034673139452934265,-0.007225543260574341,0.00621806550770998,-0.06304788589477539,-0.000611637718975544,-0.000497802160680294,3.719143569469452e-05
1.2001054286956787,3.3199055451405e-06,0.1000000536441803,0.01399962604045868,-2.442398115825857e-15,2.775640994308196e-15,3.052916382558944e-16,0.10930906981229782,0.020258404314517975,0.18378371000289917,0.014203531667590141,0.009200822561979294,-0.0179834496229887,-0.0006783187855035067,-0.007922500371932983,-0.058689430356025696,0.00035899877548217773,-0.0010632574558258057,-0.00034596025943756104,-0.006954886019229889,0.005940212868154049,-0.06304824352264404,-0.0005915127694606781,-0.0004765912890434265,3.923662006855011e-05
