time_sec,qx,qy,qz,qw,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,fx,fy,fz,tx,ty,tz
1783399018.058105,0.6597808840319596,-0.2732953614553685,-0.2678146706896497,0.6467411635549262,-0.00017453292519943296,1.570709060332297,6.981317007977319e-05,1.5707788735023767,3.1416624667598727,0.7852934436423286,0.0,0.0,0.0,0.0,0.0,0.0,-0.028521526336717205,-0.29598915312694857,1.0487132819841638,-0.0999999999946323,9.552194796244684e-08,-1.0317772214886826e-06
1783399018.1580546,0.6597855594026844,-0.2732840741081728,-0.26782618644571543,0.6467363947517338,-0.00015707963267948963,1.5707265136248167,6.981317007977319e-05,1.5708137800874167,3.1416624667598727,0.7853108969348485,0.0,0.0,0.0,0.0,0.0,0.0,-0.026082739477584608,-0.2959902765870659,1.0310310242762484,-0.09999999993343606,-3.4997455076414226e-06,-1.0318524685913584e-06
1783399018.2580552,0.6597807886446647,-0.27329558900595896,-0.2678374745851265,0.6467317211743767,-0.00015707963267948963,1.570709060332297,6.981317007977319e-05,1.5708137800874167,3.141679920052393,0.7853108969348485,0.0,0.0,0.0,0.0,0.0,0.0,-0.052981250437849195,-0.2959873341513904,1.0380143463011458,-0.09999999992656966,3.6907894013517985e-06,-1.0316449902861008e-06
1783399018.3580956,0.6597784515582442,-0.27330123297624925,-0.2678317164253277,0.6467341050151372,-0.00013962634015954637,1.5707265136248167,6.981317007977319e-05,1.5707788735023767,3.1416450134673526,0.7853283502273685,0.0,0.0,0.0,0.0,0.0,0.0,-0.02071964962263936,-0.29600637807007735,1.0025475847691185,-0.0999999999894298,1.293947556585394e-06,6.63241712483951e-07
1783399018.4585533,0.6597832217424443,-0.2732897177921766,-0.26782042857788024,0.6467387791779563,-0.00017453292519943296,1.570709060332297,6.981317007977319e-05,1.5707963267948966,3.1416450134673526,0.7852934436423286,0.0,0.0,0.0,0.0,0.0,0.0,-0.017583704078510048,-0.29598862151132826,1.03990134551245,-0.09999999992656929,3.6907894015281817e-06,-1.0316813414499991e-06
1783399018.558212,0.6597784514597471,-0.273301232935442,-0.2678317164669381,0.6467341051156335,-0.00015707963267948963,1.570709060332297,6.981317007977319e-05,1.5707963267948966,3.1416624667598727,0.7852934436423286,0.0,0.0,0.0,0.0,0.0,0.0,-0.07484813711769077,-0.2959802302446496,1.0483088128462077,-0.09999999998229717,9.550961388385753e-08,-1.879254385474826e-06
1783399018.6580875,0.6597808840319594,-0.27329536145536837,-0.26781467068965,0.6467411635549263,-0.00015707963267948963,1.570709060332297,6.981317007977319e-05,1.5707963267948966,3.1416450134673526,0.7853108969348485,0.0,0.0,0.0,0.0,0.0,0.0,-0.025223203743204622,-0.2959796770872929,1.048052261932826,-0.09999999995128525,2.492354582069672e-06,-1.8791664493887118e-06
1783399018.7581465,0.6597855594026844,-0.2732840741081728,-0.26782618644571543,0.6467363947517338,-0.00015707963267948963,1.570709060332297,5.235987755982989e-05,1.5707963267948966,3.1416624667598727,0.7853108969348485,0.0,0.0,0.0,0.0,0.0,0.0,-0.026032311173876017,-0.2959804651301092,1.0216598990412311,-0.09999999997397248,1.2939320971203372e-06,-1.8792005902179123e-06
1783399018.8580334,0.6597784990548933,-0.2733011191193462,-0.2678203145608082,0.6467388264064057,-0.00017453292519943296,1.570709060332297,6.981317007977319e-05,1.5708137800874167,3.1416624667598727,0.7853283502273685,0.0,0.0,0.0,0.0,0.0,0.0,-0.03317371850114956,-0.295997236451357,1.049959952753499,-0.09999999996877154,2.492372069304986e-06,-1.8419148403178835e-07
1783399018.9580762,0.6597808358639861,-0.2732954749855965,-0.26782607292893706,0.6467364429491202,-0.00015707963267948963,1.5707265136248167,6.981317007977319e-05,1.5707788735023767,3.141679920052393,0.7853283502273685,0.0,0.0,0.0,0.0,0.0,0.0,-0.020561323807461257,-0.2959891676042338,1.0480471333669519,-0.0999999999946323,9.552194796244684e-08,-1.0317772214886826e-06
