time_sec,qx,qy,qz,qw,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,fx,fy,fz,tx,ty,tz,fx_physics,fy_physics,fz_physics,tx_physics,ty_physics,tz_physics,fx_traditional_external,fy_traditional_external,fz_traditional_external,tx_traditional_external,ty_traditional_external,tz_traditional_external,fx_residual_nn,fy_residual_nn,fz_residual_nn,tx_residual_nn,ty_residual_nn,tz_residual_nn,fx_nn_external,fy_nn_external,fz_nn_external,tx_nn_external,ty_nn_external,tz_nn_external
1783399018.058105,0.6597808840319596,-0.2732953614553685,-0.2678146706896497,0.6467411635549262,-0.00017453292519943296,1.570709060332297,6.981317007977319e-05,1.5707788735023767,3.1416624667598727,0.7852934436423286,0.0,0.0,0.0,0.0,0.0,0.0,-0.028521526336717205,-0.29598915312694857,1.0487132819841638,-0.0999999999946323,9.552194796244684e-08,-1.0317772214886826e-06,-0.12449208356330743,-0.010090885650262393,-0.023689046087724375,0.01276681761502596,-0.02975084657086391,0.021220473311166946,0.09597055722659023,-0.2858982674766862,1.0724023280718882,-0.11276681760965826,0.029750942092811872,-0.021221505088388434,0.13636307,0.04987786,0.32335284,-0.00907034,0.029871572,-0.020941181,-0.04039251695687382,-0.33577612712872856,0.7490494845488627,-0.10369647799699547,-0.00012062971624154928,-0.00028032398003291145
1783399018.1580546,0.6597855594026844,-0.2732840741081728,-0.26782618644571543,0.6467363947517338,-0.00015707963267948963,1.5707265136248167,6.981317007977319e-05,1.5708137800874167,3.1416624667598727,0.7853108969348485,0.0,0.0,0.0,0.0,0.0,0.0,-0.026082739477584608,-0.2959902765870659,1.0310310242762484,-0.09999999993343606,-3.4997455076414226e-06,-1.0318524685913584e-06,-0.12448288606871394,-0.010100081513037651,-0.023687104023222993,0.012767699384442222,-0.029749944870606226,0.02122056694471769,0.09840014659112933,-0.28589019507402824,1.0547181282994713,-0.11276769931787828,0.029746445125098584,-0.02122159879718628,0.13636622,0.04987926,0.32335308,-0.0090698525,0.029871378,-0.02093977,-0.03796607173734662,-0.33576945543522285,0.7313650463578667,-0.10369784678692201,-0.0001249329688593169,-0.00028182957385387494
1783399018.2580552,0.6597807886446647,-0.27329558900595896,-0.2678374745851265,0.6467317211743767,-0.00015707963267948963,1.570709060332297,6.981317007977319e-05,1.5708137800874167,3.141679920052393,0.7853108969348485,0.0,0.0,0.0,0.0,0.0,0.0,-0.052981250437849195,-0.2959873341513904,1.0380143463011458,-0.09999999992656966,3.6907894013517985e-06,-1.0316449902861008e-06,-0.12423515750044078,-0.010345026922615297,-0.02368713441030007,0.012791474461458674,-0.02972589996382624,0.021223076248610254,0.07125390706259159,-0.2856423072287751,1.0617014807114458,-0.11279147438802833,0.02972959075322759,-0.02122410789360054,0.13637318,0.049873523,0.32335448,-0.009071051,0.029871136,-0.020938532,-0.06511927010816189,-0.3355158306429101,0.7383469980606889,-0.10372042324491854,-0.00014154519686090938,-0.00028557546664722405
1783399018.3580956,0.6597784515582442,-0.27330123297624925,-0.2678317164253277,0.6467341050151372,-0.00013962634015954637,1.5707265136248167,6.981317007977319e-05,1.5707788735023767,3.1416450134673526,0.7853283502273685,0.0,0.0,0.0,0.0,0.0,0.0,-0.02071964962263936,-0.29600637807007735,1.0025475847691185,-0.0999999999894298,1.293947556585394e-06,6.63241712483951e-07,-0.12423975668804665,-0.01034042935359647,-0.023688084111989083,0.01279103349330113,-0.02972635075814445,0.02122302943106043,0.10352010706540729,-0.2856659487164809,1.0262356688811076,-0.11279103348273092,0.029727644705701033,-0.021222366189347946,0.13637283,0.04987508,0.3233538,-0.009073343,0.029870538,-0.0209376,-0.03285272737863873,-0.3355410293019606,0.7028818716837657,-0.103717690354765,-0.00014289333529456452,-0.00028476694761439547
1783399018.4585533,0.6597832217424443,-0.2732897177921766,-0.26782042857788024,0.6467387791779563,-0.00017453292519943296,1.570709060332297,6.981317007977319e-05,1.5707963267948966,3.1416450134673526,0.7852934436423286,0.0,0.0,0.0,0.0,0.0,0.0,-0.017583704078510048,-0.29598862151132826,1.03990134551245,-0.09999999992656929,3.6907894015281817e-06,-1.0316813414499991e-06,-0.12448748482200678,-0.010095483575656594,-0.02368807499873221,0.012767258498836753,-0.029750395721054868,0.021220520127881285,0.10690378074349673,-0.28589313793567167,1.0635894205111822,-0.11276725842540604,0.029754086510456395,-0.021221551809222736,0.13636303,0.049873125,0.32335442,-0.009071232,0.02987181,-0.020940771,-0.029459248736483742,-0.3357662627437447,0.7402349974650702,-0.10369602660571677,-0.00011772371717612765,-0.0002807804828000443
1783399018.558212,0.6597784514597471,-0.273301232935442,-0.2678317164669381,0.6467341051156335,-0.00015707963267948963,1.570709060332297,6.981317007977319e-05,1.5707963267948966,3.1416624667598727,0.7852934436423286,0.0,0.0,0.0,0.0,0.0,0.0,-0.07484813711769077,-0.2959802302446496,1.0483088128462077,-0.09999999998229717,9.550961388385753e-08,-1.879254385474826e-06,-0.12423975660792319,-0.010340429273192342,-0.02368808715211096,0.012791033502403404,-0.02972635076441299,0.021223029431134542,0.04939161949023242,-0.28563980097145725,1.0719968999983187,-0.11279103348470057,0.029726446274026874,-0.021224908685520016,0.13637045,0.049869288,0.32335505,-0.009071999,0.029870924,-0.020938788,-0.08697883076802258,-0.3355090887305229,0.7486418511034365,-0.10371903425520981,-0.00014447733451461442,-0.00028612107618125604
1783399018.6580875,0.6597808840319594,-0.27329536145536837,-0.26781467068965,0.6467411635549263,-0.00015707963267948963,1.570709060332297,6.981317007977319e-05,1.5707963267948966,3.1416450134673526,0.7853108969348485,0.0,0.0,0.0,0.0,0.0,0.0,-0.025223203743204622,-0.2959796770872929,1.048052261932826,-0.09999999995128525,2.492354582069672e-06,-1.8791664493887118e-06,-0.12449208356330832,-0.010090885650266834,-0.023689046087730536,0.012766817615026405,-0.02975084657086402,0.021220473311166967,0.0992688798201037,-0.28588879143702606,1.0717413080205567,-0.11276681756631166,0.02975333892544609,-0.021222352477616356,0.13636576,0.0498778,0.32335415,-0.009071499,0.029871624,-0.020940164,-0.037096876572375245,-0.33576659148442367,0.7483871531953461,-0.10369531845704347,-0.00011828503767151097,-0.000282188373512314
1783399018.7581465,0.6597855594026844,-0.2732840741081728,-0.26782618644571543,0.6467363947517338,-0.00015707963267948963,1.570709060332297,5.235987755982989e-05,1.5707963267948966,3.1416624667598727,0.7853108969348485,0.0,0.0,0.0,0.0,0.0,0.0,-0.026032311173876017,-0.2959804651301092,1.0216598990412311,-0.09999999997397248,1.2939320971203372e-06,-1.8792005902179123e-06,-0.12448288606871394,-0.010100081513037651,-0.023687104023222993,0.012767699384442222,-0.029749944870606226,0.02122056694471769,0.09845057489483793,-0.2858803836170716,1.045347003064454,-0.1127676993584147,0.029751238802703348,-0.021222446145307907,0.13636751,0.049877014,0.3233541,-0.009070568,0.029872091,-0.020940144,-0.03791693983466189,-0.3357573976282162,0.7219929078438883,-0.10369713157172113,-0.00012085268434670893,-0.00028230253030050653
1783399018.8580334,0.6597784990548933,-0.2733011191193462,-0.2678203145608082,0.6467388264064057,-0.00017453292519943296,1.570709060332297,6.981317007977319e-05,1.5708137800874167,3.1416624667598727,0.7853283502273685,0.0,0.0,0.0,0.0,0.0,0.0,-0.03317371850114956,-0.295997236451357,1.049959952753499,-0.09999999996877154,2.492372069304986e-06,-1.8419148403178835e-07,-0.1243682184845003,-0.010213357481648977,-0.02368904608772221,0.01277870498426692,-0.02973882397014682,0.021221727963497333,0.09119449998335075,-0.285783878969708,1.0736489988412212,-0.11277870495303846,0.029741316342216127,-0.021221912154981364,0.13636976,0.049879894,0.32335436,-0.009071848,0.029870942,-0.02093918,-0.04517526482148934,-0.3356637726302534,0.7502946353997539,-0.10370685659780479,-0.0001296258927768537,-0.00028273152751611547
1783399018.9580762,0.6597808358639861,-0.2732954749855965,-0.26782607292893706,0.6467364429491202,-0.00015707963267948963,1.5707265136248167,6.981317007977319e-05,1.5707788735023767,3.141679920052393,0.7853283502273685,0.0,0.0,0.0,0.0,0.0,0.0,-0.020561323807461257,-0.2959891676042338,1.0480471333669519,-0.0999999999946323,9.552194796244684e-08,-1.0317772214886826e-06,-0.12436361895424852,-0.010217954751216674,-0.023688105385801406,0.012779145973407902,-0.029738373184149958,0.021221774781569173,0.10380229514678727,-0.28577121285301715,1.0717352387527532,-0.1127791459680402,0.02973846870609792,-0.02122280655879066,0.13637006,0.049884174,0.32335126,-0.009070344,0.029870862,-0.020939255,-0.0325677676812767,-0.33565538687211544,0.7483839747528143,-0.10370880169876454,-0.00013239343515364377,-0.00028355142551944254
1783399019.058089,0.6597879918241646,-0.27327820256565616,-0.267809140607247,0.6467434530432669,-0.00017453292519943296,1.570709060332297,6.981317007977319e-05,1.5707788735023767,3.141679920052393,0.7853283502273685,0.0,0.0,0.0,0.0,0.0,0.0,-0.006906832870864001,-0.2959978938744391,1.047975430292774,-0.09999999996877168,2.4923720637427607e-06,-1.8410501453460007e-07,-0.12473522158614436,-0.009850546525630222,-0.023688062845356295,0.012743484334615363,-0.029774441507582683,0.02121801081703202,0.11782838871528037,-0.28614734734880887,1.0716634931381304,-0.11274348430338704,0.029776933879646427,-0.021218194922046556,0.13636136,0.049892575,0.32334968,-0.009067789,0.02987289,-0.020942848,-0.01853297183464639,-0.3360399218975302,0.748313808661278,-0.10367569558325612,-9.595668217264944e-05,-0.00027534674628247255
